Year,Name,Net Profit,Price to Earning,Earning Per Share (EPS),Dividend Payout,Return on Equity (ROE),Return on Capital Emp (ROCE)
13-Mar,yes Bank LTD,1300.68,0,0,0,0,0
14-Mar,,1617.78,0,0,0,0,0
15-Mar,,2005.36,0,0,0,0,0
16-Mar,,2539.45,0,0,0,0,0
17-Mar,,3330.1,0,0,0,0,0
18-Mar,,4224.56,0,0,0,0,0
19-Mar,,1720.28,0,7.43,0,0,0
20-Mar,,-16418.03,0,-13.08,0,0,0
21-Mar,,-3462.23,-11.29,-1.38,0,-10,3
