Year,Name,Net Profit,Price to Earning,Earning Per Share (EPS),Dividend Payout,Return on Equity (ROE),Return on Capital Emp (ROCE)
13-Mar,ZOMATO LTD,0,0,0,0,0,0
14-Mar,,0,0,0,0,0,0
15-Mar,,0,0,0,0,0,0
16-Mar,,0,0,0,0,0,0
17-Mar,,0,0,0,0,0,0
18-Mar,,-103.68,0,0,0,0,0
19-Mar,,-964.95,0,-32165,0,0,0
20-Mar,,-2367.16,0,-78905.33,0,0,0
21-Mar,,-812.82,0,-203200.5,0,-11,-20
