Year,Name,Net Profit,Price to Earning,Earning Per Share (EPS),Dividend Payout,Return on Equity (ROE),Return on Capital Emp (ROCE)
13-Mar,Reiance Industries LTD,20879,0,0,0,0,0
14-Mar,,22493,0,0,0,0,0
15-Mar,,23566,0,0,0,0,0
16-Mar,,29745,0,0,0,0,0
17-Mar,,29901,0,0,0,0,0
18-Mar,,36075,0,0,0,0,0
19-Mar,,39588,0,58.55,0,0,0
20-Mar,,39354,0,58.2,10.47,0,0
21-Mar,,39128,25.85,77.5,9.18,7,9
