Year,Name,Net Profit,Price to Earning,Earning Per Share (EPS),Dividend Payout,Return on Equity (ROE),Return on Capital Emp (ROCE)
Mar-13, BAJAJ AUTO LTD,"3,132.69",0,0,0,0,0
Mar-14,,"3,380.28",0,0,0,0,0
Mar-15,,"3,025.63",0,0,0,0,0
Mar-16,,"4,061.24",0,0,0,0,0
Mar-17,,"4,079.49",0,0,0,0,0
Mar-18,,"4,218.95",0,0,0,0,0
Mar-19,,"4,927.61",0,170.27,0,0,0
Mar-20,,"5,211.91",0,180.09,66.63,0,0
Mar-21,,"4,857.02",21.87,167.83,83.41,18,25
