Year,Name,Net Profit,Price to Earning,Earning Per Share (EPS),Dividend Payout,Return on Equity (ROE),Return on Capital Emp (ROCE)
13-Mar,AVANTI FEEDS LTD,30.05,0,0,0,0,0
14-Mar,,70.41,0,0,0,0,0
15-Mar,,115.92,0,0,0,0,0
16-Mar,,157.5,0,0,0,0,0
17-Mar,,215.66,0,0,0,0,0
18-Mar,,446.47,0,0,0,0,0
19-Mar,,273.63,0,20.09,0,0,0
20-Mar,,346.49,0,25.44,20.05,0,0
21-Mar,,360.07,15.68,26.44,23.64,20,32
